Symbol,Interval,ARIMA_RMSE,ARIMA_MAE,LSTM_RMSE,LSTM_MAE,LightGBM_RMSE,LightGBM_MAE,XGBoost_RMSE,XGBoost_MAE,RandomForest_RMSE,RandomForest_MAE
WAVES-USD,Quarterly,6.561675016115336,6.372235225848897,0.26695924099916174,0.2148635506629944,7.212345605835319,7.2075587523610976,0.7392884589953603,0.5956691384315491,0.8460432877661281,0.63313911652565
AAVE-USD,Weekly,101.51171349073553,85.77372353911689,32.91767151833061,23.864586020415683,19.397592780642903,15.609075563912327,20.477594740590504,15.001784584738992,19.552091943053224,15.286891758311878
AAVE-USD,Monthly,91.43089567389465,83.55672474928036,48.14038891240502,42.697236494584516,57.07747231792893,50.36997928532473,43.53192218650046,33.6862311730018,35.749126916427336,27.376820596548217
AAVE-USD,Quarterly,126.91088119605418,109.7610272551095,57.589618675573824,48.910133361816406,111.95928049487634,97.73400545120239,62.80933261168906,58.040652465820315,58.00570405657541,51.86546334838867
TON-USD,Weekly,1.4652855351514897,1.3326997394045712,0.92921572640554,0.6416625022991664,1.2503674352742822,1.0477900694795526,1.8463455925235022,1.1807111186873434,1.164285967844068,0.9768332853720391
TON-USD,Monthly,21.93463840902609,18.042157543861162,1.2215891765245035,0.9650348694218943,1.7840174699198335,1.4790856748299457,1.6371460231845614,1.450999161013617,1.4027603371646797,1.268854632936418
TON-USD,Quarterly,0.8612182529400895,0.7853567167155256,0.3412179833228446,0.30524232564494014,2.833847113778461,2.771528262403958,2.3482648145187697,2.04781013391912,1.6173641072956744,1.4788144030421972
ICX-USD,Weekly,0.048763664160303644,0.04063574677034041,0.029455740685339227,0.020169355036293874,0.03197571104838238,0.024953366027017383,0.02717477305193154,0.020250776102618565,0.023878935972018848,0.017284251148738557
ICX-USD,Monthly,0.05692765417561928,0.05087064948818124,0.04744209802106288,0.04122904458871254,0.046329227355826536,0.03434106210894186,0.08280449722603858,0.0745696281393369,0.044087797213916556,0.038023173054059355
ICX-USD,Quarterly,0.052929093853678416,0.04543230618272025,0.03825401645099962,0.03037543296813965,0.4803535511862417,0.4788256528346162,0.12267060102334865,0.10683340281248092,0.13528613580588256,0.11437277838587763
TAO-USD,Weekly,,,,,,,,,,
TAO-USD,Monthly,,,,,,,,,,
TAO-USD,Quarterly,,,,,,,,,,
